level,district ,region ,schools_2016,pupils_2016,schools_2017,pupils_2017
Nursery,Bugesera,Amajyepfo,32,"2,358",41,3358
Nursery,Burera,Amajyepfo,101,6067,92,7333
Nursery,Gakenke,Amajyepfo,75,5389,118,9487
Nursery,Gasabo,Amajyepfo,114,7009,139,9638
Nursery,Gatsibo,Amajyepfo,78,5975,87,6607
Nursery,Gicumbi,Amajyepfo,85,7533,86,7169
Nursery,Gisagara,Amajyepfo,46,2951,58,4002
Nursery,Huye,Amajyepfo,74,4253,76,4976
Nursery,Kamonyi,west,87,5437,87,7561
Nursery,Karongi,west,89,5728,89,7676
Nursery,Kayonza,west,68,3742,68,4527
Nursery,Kicukiro,west,121,6941,121,9250
Nursery,Kirehe,west,108,6783,108,8678
Nursery,Muhanga,west,112,8429,112,8969
Nursery,Musanze,west,95,4713,95,9137
Nursery,Ngoma,east,76,5573,75,5714
Nursery,Ngororero,east,123,7513,125,7417
Nursery,Nyabihu,east,50,2569,78,4385
Nursery,Nyagatare,east,57,4575,59,4630
Nursery,Nyamagabe,east,82,5378,75,5847
Nursery,Nyamasheke,east,144,9686,141,9295
Nursery,Nyanza,east,102,6259,138,7797
Nursery,Nyarugenge,Amajyaruguru,103,6410,111,7597
Nursery,Nyaruguru,Amajyaruguru,137,8131,136,8579
Nursery,Rubavu,Amajyaruguru,154,7626,146,8472
Nursery,Ruhango,Amajyaruguru,122,7761,142,8633
Nursery,Rulindo,Amajyaruguru,90,7376,97,7490
Nursery,Rusizi,Umujyi wa Kigali,100,11075,113,11850
Nursery,Rutsiro,Umujyi wa Kigali,92,8239,94,8541
Nursery,Rwamagana,Umujyi wa Kigali,40,4187,64,5820